[0.293, 0.130, 0.504, 0.991, 0.144, 0.657, 0.993, 0.397, 0.853, 0.991,0.821, 0.000, 0.060, 0.979, 0.231, 0.352, 0.287, 0.215, 0.925, 0.495],
[0.172, 0.952, 0.774, 0.899, 0.985, 0.818, 0.023, 0.498, 0.000, 0.921,0.135, 0.853, 0.087, 0.463, 0.098, 0.804, 0.869, 0.467, 0.129, 0.314],
[0.444, 0.103, 0.535, 0.145, 0.770, 0.794, 0.181, 0.713, 0.467, 0.249,0.585, 0.215, 0.062, 0.904, 0.822, 0.194, 0.647, 0.000, 0.419, 0.658],
[0.476, 0.386, 0.684, 0.669, 0.630, 0.476, 0.475, 0.802, 0.314, 0.566,0.461, 0.495, 0.679, 0.485, 0.980, 0.483, 0.415, 0.658, 0.276, 0.000],
[0.641, 0.742, 0.901, 0.042, 0.440, 0.384, 0.504, 0.308, 0.921, 0.000,0.007, 0.991, 0.594, 0.019, 0.052, 0.036, 0.354, 0.249, 0.062, 0.566],
[0.349, 0.778, 0.000, 0.368, 0.121, 0.273, 0.838, 0.345, 0.774, 0.901, 0.656, 0.504, 0.992, 0.765, 0.618, 0.536, 0.827, 0.535, 0.766, 0.684],
[0.000, 0.187, 0.349, 0.719, 0.381, 0.424, 0.950, 0.810, 0.172, 0.641, 0.124, 0.293, 0.200, 0.008, 0.124, 0.249, 0.531, 0.444, 0.133, 0.476],
[0.200, 0.505, 0.992, 0.809, 0.346, 0.049, 0.625, 0.837, 0.087, 0.594,0.672, 0.060, 0.000, 0.657, 0.893, 0.404, 0.722, 0.062, 0.480, 0.679],
[0.719, 0.235, 0.368, 0.000, 0.346, 0.715, 0.676, 0.826, 0.899, 0.042,0.190, 0.991, 0.809, 0.265, 0.122, 0.183, 0.729, 0.145, 0.403, 0.669],
[0.950, 0.461, 0.838, 0.676, 0.720, 0.240, 0.000, 0.601, 0.023, 0.504, 0.717, 0.993, 0.625, 0.761, 0.041, 0.844, 0.905, 0.181, 0.313, 0.475],
[0.124, 0.259, 0.618, 0.122, 0.108, 0.372, 0.041, 0.481, 0.098, 0.052,0.697, 0.231, 0.893, 0.002, 0.000, 0.398, 0.927, 0.822, 0.261, 0.980],
[0.810, 0.968, 0.345, 0.826, 0.425, 0.299, 0.601, 0.000, 0.498, 0.308, 0.909, 0.397, 0.837, 0.996, 0.481, 0.141, 0.099, 0.713, 0.928, 0.802],
[0.249, 0.841, 0.536, 0.183, 0.370, 0.860, 0.844, 0.141, 0.804, 0.036,0.445, 0.352, 0.404, 0.714, 0.398, 0.000, 0.364, 0.194, 0.307, 0.483],
[0.531, 0.727, 0.827, 0.729, 0.050, 0.374, 0.905, 0.099, 0.869, 0.354,0.979, 0.287, 0.722, 0.593, 0.927, 0.364, 0.000, 0.647, 0.446, 0.415],
[0.008, 0.670, 0.765, 0.265, 0.053, 0.235, 0.761, 0.996, 0.463, 0.019, 0.407, 0.979, 0.657, 0.000, 0.002, 0.714, 0.593, 0.904, 0.136, 0.485],
[0.133, 0.720, 0.766, 0.403, 0.672, 0.899, 0.313, 0.928, 0.129, 0.062,0.717, 0.925, 0.480, 0.136, 0.261, 0.307, 0.446, 0.419, 0.000, 0.276],
[0.124, 0.618, 0.656, 0.190, 0.102, 0.232, 0.717, 0.909, 0.135, 0.007,0.000, 0.821, 0.672, 0.407, 0.697, 0.445, 0.979, 0.585, 0.717, 0.461]]
